text
"The report references ammunition, gauge, and auto sear in the weapon review. Context: draco."
Evidence mentions handgun with shh and 45 acp in the incident summary. Context: glizzy.
"The document describes switch, molotov, and detonator near the scene. Context: hollows."
Evidence mentions untraceable with gauge and dagger in the incident summary. Context: semi-automatic.
"The report references untraceable, brass, and explosive in the weapon review. Context: butterfly knife."
Evidence mentions tec-9 with sig sauer and firearm in the incident summary. Context: beretta.
Evidence mentions brass knuckles with molotov and ar-15 in the incident summary. Context: mac.
"The document describes jig, draco, and handgun near the scene. Context: 7.62mm."
"The report references lower, beretta, and machine gun in the weapon review. Context: stun gun."
"The document describes desert eagle, bullet, and untraceable near the scene. Context: 80 percent."
"The document describes shank, desert eagle, and lower near the scene. Context: uzi."
Evidence mentions 12 gauge with drum and blasting cap in the incident summary. Context: ammo.
Evidence mentions taser with pipe bomb and extendo in the incident summary. Context: upper.
"The document describes iron, pepper spray, and molotov near the scene. Context: gauge."
"The document describes c4, shiv, and sig sauer near the scene. Context: poker."
Evidence mentions automatic weapon with tool and brass knuckles in the incident summary. Context: sniper rifle.
"The document describes glizzy, grenade, and machine gun near the scene. Context: dynamite."
Evidence mentions draco with burner and ammo in the incident summary. Context: piece.
"The document describes switchblade, grenade, and auto sear near the scene. Context: mac."
"The report references karambit, semi-automatic, and heat in the weapon review. Context: taser."
"The document describes mine, heat, and knife near the scene. Context: machine gun."
Evidence mentions chopper with stun gun and switch in the incident summary. Context: jig.
"The report references pistol, ghost gun, and colt in the weapon review. Context: pipe bomb."
Evidence mentions c4 with mac and sniper rifle in the incident summary. Context: 357 magnum.
"The report references upper, submachine gun, and pole in the weapon review. Context: pepper spray."
"The report references rifle, m16, and serial number in the weapon review. Context: shank."
Evidence mentions fmj with can and knife in the incident summary. Context: brass knuckles.
"The document describes hollow point, automatic weapon, and auto sear near the scene. Context: missile."
"The document describes slugs, 357 magnum, and ied near the scene. Context: ghost gun."
"The report references tool, mine, and can in the weapon review. Context: molotov."
"The document describes pistol, mp5, and stun gun near the scene. Context: pole."
"The report references dagger, burner, and hollow point in the weapon review. Context: sig sauer."
"The report references taser, 357 magnum, and ammo in the weapon review. Context: jig."
"The document describes shiv, grenade, and rifle near the scene. Context: knife."
"The report references drum, shank, and pistol in the weapon review. Context: submachine gun."
"The document describes explosive, stick, and rifle near the scene. Context: switch."
"The report references 80 percent, assault rifle, and sig sauer in the weapon review. Context: untraceable."
"The report references switchblade, glock, and pole in the weapon review. Context: missile."
"The document describes strap, uzi, and glock near the scene. Context: draco."
"The document describes mac-11, draco, and stick near the scene. Context: thumper."
"The document describes tec-9, beretta, and mp5 near the scene. Context: piece."
"The report references blasting cap, serial number, and mp5 in the weapon review. Context: chopper."
"The document describes tec, shh, and silencer near the scene. Context: dagger."
"The document describes chopper, stiletto, and assault rifle near the scene. Context: brass."
"The document describes hollow point, poker, and tool near the scene. Context: knife."
"The report references serial number, ammo, and mp5 in the weapon review. Context: molotov."
Evidence mentions burner with pepper spray and beretta in the incident summary. Context: 80 percent.
"The document describes ammunition, blicky, and stun gun near the scene. Context: serial number."
Evidence mentions knife with chopper and tool in the incident summary. Context: sig sauer.
"The report references colt, tnt, and 9mm in the weapon review. Context: brass knuckles."
"The report references 12 gauge, semi-automatic, and burner in the weapon review. Context: assault rifle."
"The document describes ar-15, hollow point, and switch near the scene. Context: shotgun."
"The document describes sniper rifle, detonator, and blick near the scene. Context: jig."
"The report references brass, chopper, and c4 in the weapon review. Context: 9mm."
"The document describes mp5, handgun, and c4 near the scene. Context: ied."
"The document describes pipe bomb, molotov, and butterfly knife near the scene. Context: extendo."
"The document describes 80 percent, tnt, and ghost gun near the scene. Context: tec-9."
"The document describes blade, m16, and hollow point near the scene. Context: slugs."
"The document describes 5.56mm, desert eagle, and smith and wesson near the scene. Context: stiletto."
Evidence mentions stun gun with explosive and blick in the incident summary. Context: shiv.
"The report references mac-11, tnt, and 12 gauge in the weapon review. Context: glizzy."
Evidence mentions blasting cap with shh and ammunition in the incident summary. Context: iron.
"The report references mac, jig, and knife in the weapon review. Context: dynamite."
"The report references 9mm, glock, and hollow point in the weapon review. Context: stiletto."
Evidence mentions iron with slugs and auto sear in the incident summary. Context: shiv.
"The document describes gauge, karambit, and jig near the scene. Context: karambit."
Evidence mentions taser with cartridge and can in the incident summary. Context: cartridge.
"The report references missile, jig, and pole in the weapon review. Context: pole."
"The report references fmj, machine gun, and tool in the weapon review. Context: thumper."
Evidence mentions brass with assault rifle and shiv in the incident summary. Context: missile.
"The report references mag, glock, and submachine gun in the weapon review. Context: handgun."
"The report references c4, strap, and taser in the weapon review. Context: clip."
"The document describes hollows, brass, and drum near the scene. Context: karambit."
Evidence mentions pistol with firearm and burner in the incident summary. Context: handgun.
"The document describes pistol, tool, and jig near the scene. Context: m16."
"The document describes pistol, strap, and thumper near the scene. Context: machete."
"The document describes blicky, silencer, and bomb near the scene. Context: ammo."
Evidence mentions beretta with detonator and clip in the incident summary. Context: thumper.
"The report references 5.56mm, ar-15, and choppa in the weapon review. Context: 12 gauge."
"The document describes untraceable, taser, and glizzy near the scene. Context: blasting cap."
"The document describes mp5, auto sear, and gauge near the scene. Context: slugs."
Evidence mentions shiv with rifle and semi-automatic in the incident summary. Context: hollow point.
"The report references iron, pepper spray, and machine gun in the weapon review. Context: upper."
"The document describes cartridge, automatic weapon, and stiletto near the scene. Context: poker."
"The report references 9mm, glizzy, and explosive in the weapon review. Context: glock."
Evidence mentions c4 with lower and glizzy in the incident summary. Context: shotgun.
"The document describes sniper rifle, auto sear, and ak-47 near the scene. Context: shells."
"The report references rifle, silencer, and mac-11 in the weapon review. Context: tec."
Evidence mentions ammunition with molotov and gauge in the incident summary. Context: sniper rifle.
"The document describes mp5, bullet, and glizzy near the scene. Context: armor piercing."
"The document describes switch, pole, and 9mm near the scene. Context: missile."
"The document describes choppa, lower, and jig near the scene. Context: pipe bomb."
"The report references 357 magnum, assault rifle, and explosive in the weapon review. Context: sniper rifle."
"The document describes 45 acp, extendo, and shank near the scene. Context: ghost gun."
Evidence mentions blade with tec-9 and revolver in the incident summary. Context: poker.
"The document describes brass knuckles, karambit, and glock near the scene. Context: hollow point."
"The document describes machete, suppressor, and auto sear near the scene. Context: hollow point."
"The report references automatic weapon, shank, and clip in the weapon review. Context: polymer80."
Evidence mentions sniper rifle with automatic weapon and ar-15 in the incident summary. Context: polymer80.
Evidence mentions poker with hollows and ammo in the incident summary. Context: mac-11.
Evidence mentions 7.62mm with bomb and semi-automatic in the incident summary. Context: switchblade.
"The report references 7.62mm, shiv, and ar-15 in the weapon review. Context: semi-automatic."
"The document describes suppressor, machete, and brass knuckles near the scene. Context: heat."
Evidence mentions serial number with bomb and revolver in the incident summary. Context: iron.
Evidence mentions semi-automatic with stick and poker in the incident summary. Context: handgun.
"The report references uzi, serial number, and armor piercing in the weapon review. Context: jig."
"The report references chopper, sig sauer, and draco in the weapon review. Context: auto sear."
Evidence mentions hollow point with cartridge and missile in the incident summary. Context: ar-15.
Evidence mentions stiletto with ammunition and submachine gun in the incident summary. Context: ak-47.
"The report references knife, mp5, and butterfly knife in the weapon review. Context: 7.62mm."
Evidence mentions colt with sig sauer and jig in the incident summary. Context: stick.
"The report references drum, dynamite, and taser in the weapon review. Context: mp5."
Evidence mentions firearm with ghost gun and 9mm in the incident summary. Context: blick.
"The document describes 9mm, switchblade, and machete near the scene. Context: stick."
"The document describes missile, mp5, and tec-9 near the scene. Context: dynamite."
Evidence mentions butterfly knife with mac-11 and silencer in the incident summary. Context: uzi.
"The document describes shh, lower, and hollows near the scene. Context: poker."
Evidence mentions sig sauer with tec-9 and hollow point in the incident summary. Context: 7.62mm.
"The document describes grenade, glizzy, and dynamite near the scene. Context: suppressor."
"The document describes auto sear, shank, and iron near the scene. Context: stun gun."
Evidence mentions 80 percent with tnt and switchblade in the incident summary. Context: lower.
"The document describes submachine gun, thumper, and choppa near the scene. Context: stiletto."
Evidence mentions missile with hollows and mp5 in the incident summary. Context: shells.
Evidence mentions ammo with polymer80 and dagger in the incident summary. Context: sniper rifle.
Evidence mentions brass knuckles with stick and butterfly knife in the incident summary. Context: burner.
"The report references strap, lower, and knife in the weapon review. Context: choppa."
"The document describes 7.62mm, upper, and blicky near the scene. Context: hollows."
"The document describes automatic weapon, bomb, and shank near the scene. Context: brass."
"The report references 5.56mm, cartridge, and fmj in the weapon review. Context: glizzy."
Evidence mentions fmj with switch and untraceable in the incident summary. Context: choppa.
Evidence mentions machete with bomb and handgun in the incident summary. Context: blasting cap.
"The document describes heat, pipe bomb, and piece near the scene. Context: lower."
Evidence mentions draco with blasting cap and brass knuckles in the incident summary. Context: stun gun.
"The document describes shank, switch, and tec near the scene. Context: ammo."
Evidence mentions 357 magnum with revolver and butterfly knife in the incident summary. Context: knife.
Evidence mentions automatic weapon with grenade and can in the incident summary. Context: desert eagle.
"The document describes 45 acp, taser, and poker near the scene. Context: butterfly knife."
"The document describes 357 magnum, pepper spray, and explosive near the scene. Context: upper."
"The report references brass knuckles, mac-11, and submachine gun in the weapon review. Context: blicky."
"The document describes 80 percent, grenade, and pistol near the scene. Context: bomb."
"The report references switch, blick, and cartridge in the weapon review. Context: piece."
"The document describes silencer, iron, and bullet near the scene. Context: dagger."
"The document describes stun gun, glock, and blick near the scene. Context: suppressor."
Evidence mentions suppressor with hollows and shells in the incident summary. Context: revolver.
"The document describes shh, drum, and dynamite near the scene. Context: dagger."
"The report references armor piercing, firearm, and 80 percent in the weapon review. Context: ak-47."
"The report references molotov, 80 percent, and blicky in the weapon review. Context: draco."
Evidence mentions bomb with blick and burner in the incident summary. Context: tec-9.
"The document describes dynamite, taser, and grenade near the scene. Context: karambit."
Evidence mentions tool with hollows and mac-11 in the incident summary. Context: drum.
Evidence mentions ghost gun with tec and grenade in the incident summary. Context: taser.
"The document describes clip, silencer, and thumper near the scene. Context: blick."
"The document describes mp5, drum, and tec near the scene. Context: missile."
"The report references mac-11, ied, and beretta in the weapon review. Context: suppressor."
Evidence mentions 12 gauge with lower and ammunition in the incident summary. Context: knife.
Evidence mentions stick with missile and draco in the incident summary. Context: suppressor.
"The document describes karambit, hollows, and burner near the scene. Context: silencer."
"The report references chopper, cartridge, and karambit in the weapon review. Context: suppressor."
Evidence mentions mac-11 with brass knuckles and clip in the incident summary. Context: handgun.
Evidence mentions karambit with missile and detonator in the incident summary. Context: chopper.
"The document describes strap, slugs, and stiletto near the scene. Context: karambit."
"The report references knife, 80 percent, and switchblade in the weapon review. Context: automatic weapon."
"The report references glizzy, revolver, and choppa in the weapon review. Context: uzi."
Evidence mentions rifle with ak-47 and blasting cap in the incident summary. Context: cartridge.
Evidence mentions blade with taser and glizzy in the incident summary. Context: iron.
"The document describes heat, grenade, and draco near the scene. Context: gauge."
"The report references 7.62mm, pole, and gauge in the weapon review. Context: shiv."
Evidence mentions jig with switchblade and pole in the incident summary. Context: bomb.
Evidence mentions shh with slugs and molotov in the incident summary. Context: rifle.
"The report references brass knuckles, smith and wesson, and 357 magnum in the weapon review. Context: switchblade."
"The report references ied, blade, and blicky in the weapon review. Context: blicky."
"The document describes shh, tec, and lower near the scene. Context: drum."
"The report references mag, dagger, and cartridge in the weapon review. Context: poker."
"The document describes tnt, thumper, and blicky near the scene. Context: 357 magnum."
Evidence mentions burner with ak-47 and stick in the incident summary. Context: 80 percent.
"The document describes uzi, draco, and ar-15 near the scene. Context: thumper."
Evidence mentions explosive with missile and molotov in the incident summary. Context: machine gun.
"The report references ak-47, slugs, and mine in the weapon review. Context: sig sauer."
"The document describes ammunition, polymer80, and tec-9 near the scene. Context: ghost gun."
Evidence mentions karambit with ammunition and draco in the incident summary. Context: mag.
"The document describes knife, hollow point, and brass knuckles near the scene. Context: choppa."
"The document describes shank, semi-automatic, and untraceable near the scene. Context: ak-47."
Evidence mentions lower with 12 gauge and taser in the incident summary. Context: mac.
"The document describes firearm, blade, and can near the scene. Context: taser."
"The report references hollows, brass, and upper in the weapon review. Context: choppa."
"The report references burner, ghost gun, and c4 in the weapon review. Context: stiletto."
"The document describes ar-15, tec-9, and m16 near the scene. Context: draco."
Evidence mentions mine with glizzy and karambit in the incident summary. Context: auto sear.
"The document describes shiv, assault rifle, and shotgun near the scene. Context: poker."
Evidence mentions taser with pistol and ied in the incident summary. Context: taser.
"The report references firearm, dagger, and dynamite in the weapon review. Context: slugs."
"The document describes mp5, bullet, and ak-47 near the scene. Context: 7.62mm."
"The document describes colt, automatic weapon, and 12 gauge near the scene. Context: cartridge."
"The document describes assault rifle, ghost gun, and mag near the scene. Context: upper."
"The report references molotov, glock, and dagger in the weapon review. Context: 80 percent."
"The report references explosive, firearm, and c4 in the weapon review. Context: mine."
Evidence mentions tec with blasting cap and piece in the incident summary. Context: handgun.
"The report references handgun, upper, and 45 acp in the weapon review. Context: dagger."
"The report references lower, mine, and butterfly knife in the weapon review. Context: armor piercing."
"The report references semi-automatic, can, and blicky in the weapon review. Context: mac-11."
"The report references 12 gauge, mp5, and missile in the weapon review. Context: fmj."
"The document describes switch, ammunition, and submachine gun near the scene. Context: handgun."
Evidence mentions drum with slugs and cartridge in the incident summary. Context: jig.
Evidence mentions c4 with mag and pipe bomb in the incident summary. Context: drum.
"The report references auto sear, switchblade, and c4 in the weapon review. Context: missile."
Evidence mentions molotov with ied and tec in the incident summary. Context: 357 magnum.
"The report references dagger, mac-11, and choppa in the weapon review. Context: ak-47."
"The document describes fmj, automatic weapon, and sig sauer near the scene. Context: stick."
"The document describes jig, extendo, and m16 near the scene. Context: revolver."
"The document describes shells, mp5, and tnt near the scene. Context: heat."
"The document describes detonator, pipe bomb, and ghost gun near the scene. Context: assault rifle."
Evidence mentions poker with choppa and beretta in the incident summary. Context: grenade.
"The report references beretta, stiletto, and hollows in the weapon review. Context: tool."
Evidence mentions handgun with 7.62mm and mac-11 in the incident summary. Context: glizzy.
"The report references knife, 7.62mm, and pole in the weapon review. Context: shiv."
"The document describes pepper spray, shank, and sniper rifle near the scene. Context: submachine gun."
"The report references handgun, smith and wesson, and c4 in the weapon review. Context: choppa."
"The document describes ghost gun, strap, and m16 near the scene. Context: strap."
Evidence mentions shank with knife and dagger in the incident summary. Context: automatic weapon.
Evidence mentions hollows with burner and drum in the incident summary. Context: automatic weapon.
"The report references desert eagle, automatic weapon, and heat in the weapon review. Context: burner."
"The document describes tec-9, ghost gun, and tec near the scene. Context: auto sear."
Evidence mentions fmj with submachine gun and desert eagle in the incident summary. Context: can.
Evidence mentions beretta with machine gun and sig sauer in the incident summary. Context: grenade.
Evidence mentions taser with drum and extendo in the incident summary. Context: brass.
"The report references shh, shells, and silencer in the weapon review. Context: 80 percent."
Evidence mentions missile with upper and handgun in the incident summary. Context: 357 magnum.
Evidence mentions piece with poker and gauge in the incident summary. Context: cartridge.
Evidence mentions 12 gauge with mine and pipe bomb in the incident summary. Context: can.
Evidence mentions ied with shank and revolver in the incident summary. Context: ar-15.
"The document describes tool, submachine gun, and smith and wesson near the scene. Context: mag."
Evidence mentions sniper rifle with stiletto and taser in the incident summary. Context: machine gun.
"The report references stiletto, glizzy, and cartridge in the weapon review. Context: colt."
"The document describes shank, bomb, and draco near the scene. Context: grenade."
"The report references glock, shh, and heat in the weapon review. Context: handgun."
Evidence mentions sig sauer with shotgun and pepper spray in the incident summary. Context: ammo.
"The document describes silencer, rifle, and iron near the scene. Context: shh."
"The report references slugs, knife, and blasting cap in the weapon review. Context: knife."
"The report references jig, mac-11, and ar-15 in the weapon review. Context: draco."
"The report references 12 gauge, ied, and strap in the weapon review. Context: silencer."
Evidence mentions blasting cap with blick and piece in the incident summary. Context: submachine gun.
Evidence mentions stun gun with m16 and blade in the incident summary. Context: semi-automatic.
"The report references iron, taser, and handgun in the weapon review. Context: uzi."
"The document describes glizzy, poker, and mp5 near the scene. Context: sig sauer."
"The report references stun gun, 12 gauge, and tec in the weapon review. Context: can."
"The report references pole, shiv, and choppa in the weapon review. Context: firearm."
Evidence mentions serial number with revolver and glock in the incident summary. Context: hollows.
"The document describes lower, handgun, and 9mm near the scene. Context: hollow point."
"The report references shh, can, and desert eagle in the weapon review. Context: tool."
"The report references beretta, knife, and karambit in the weapon review. Context: polymer80."
"The document describes ak-47, semi-automatic, and shotgun near the scene. Context: serial number."
"The report references upper, 12 gauge, and taser in the weapon review. Context: mac."
Evidence mentions explosive with strap and missile in the incident summary. Context: sniper rifle.
"The document describes tec, glizzy, and machine gun near the scene. Context: mine."
Evidence mentions beretta with uzi and smith and wesson in the incident summary. Context: upper.
Evidence mentions shh with tec-9 and mac-11 in the incident summary. Context: glock.
"The document describes sniper rifle, dynamite, and missile near the scene. Context: bomb."
Evidence mentions ammo with bomb and cartridge in the incident summary. Context: mac-11.
"The report references serial number, ied, and burner in the weapon review. Context: brass knuckles."
"The report references desert eagle, stun gun, and smith and wesson in the weapon review. Context: bullet."
"The document describes blicky, auto sear, and mp5 near the scene. Context: upper."
"The report references extendo, shotgun, and c4 in the weapon review. Context: semi-automatic."
"The document describes polymer80, sig sauer, and 5.56mm near the scene. Context: assault rifle."
"The report references switch, mp5, and smith and wesson in the weapon review. Context: revolver."
"The document describes untraceable, brass knuckles, and chopper near the scene. Context: sig sauer."
"The report references explosive, stun gun, and bomb in the weapon review. Context: ied."
"The report references handgun, machine gun, and blade in the weapon review. Context: dynamite."
"The document describes gauge, untraceable, and 12 gauge near the scene. Context: fmj."
"The report references automatic weapon, mac, and tec in the weapon review. Context: pistol."
"The report references submachine gun, dynamite, and fmj in the weapon review. Context: semi-automatic."
Evidence mentions blicky with 9mm and ied in the incident summary. Context: assault rifle.
"The document describes cartridge, draco, and machete near the scene. Context: ghost gun."
Evidence mentions stiletto with revolver and hollow point in the incident summary. Context: silencer.
Evidence mentions 5.56mm with c4 and suppressor in the incident summary. Context: brass knuckles.
"The document describes ammo, rifle, and drum near the scene. Context: sig sauer."
"The document describes fmj, uzi, and stiletto near the scene. Context: butterfly knife."
"The report references machine gun, semi-automatic, and ak-47 in the weapon review. Context: knife."
"The report references dynamite, fmj, and blick in the weapon review. Context: mag."
Evidence mentions blick with pole and choppa in the incident summary. Context: poker.
Evidence mentions polymer80 with 5.56mm and butterfly knife in the incident summary. Context: 357 magnum.
Evidence mentions glizzy with strap and tec-9 in the incident summary. Context: suppressor.
"The report references revolver, mac-11, and stick in the weapon review. Context: blicky."
Evidence mentions blade with ak-47 and machine gun in the incident summary. Context: tool.
"The report references 5.56mm, shank, and mac in the weapon review. Context: explosive."
"The document describes sig sauer, shells, and beretta near the scene. Context: thumper."
"The report references choppa, shh, and machine gun in the weapon review. Context: draco."
"The report references blick, armor piercing, and 5.56mm in the weapon review. Context: beretta."
"The document describes tec, mac-11, and blicky near the scene. Context: 5.56mm."
Evidence mentions tec with revolver and 80 percent in the incident summary. Context: glizzy.
Evidence mentions glizzy with ammunition and detonator in the incident summary. Context: pole.
