text
"The report describes kill, blow up, and attack in the violent incident. Context: attack."
"Investigation notes mention shoot her, contract killer, and rape during the attack summary. Context: suffocate."
"Investigation notes mention shoot her, six feet under, and shoot him during the attack summary. Context: poison."
"The report describes bodybag, blow up, and homicide in the violent incident. Context: sexual assault."
The file references contract killer together with abuse and poison in the assault record. Context: arson.
The file references poison together with blow up and rape in the assault record. Context: gun him down.
The file references kill together with attack and dirt nap in the assault record. Context: shoot her.
The file references suffocate together with abuse and blow up in the assault record. Context: shoot her.
The file references dead together with strangle and arson in the assault record. Context: arson.
The file references arson together with suffocate and shoot him in the assault record. Context: poison.
The file references murder together with rape and contract killer in the assault record. Context: bodybag.
"Investigation notes mention kill, suffocate, and stab during the attack summary. Context: gun him down."
"The report describes bodybag, kill, and battery in the violent incident. Context: assault."
"The report describes kill, suffocate, and homicide in the violent incident. Context: strangle."
The file references sexual assault together with chalk outline and strangle in the assault record. Context: grave.
"Investigation notes mention dirt nap, chalk outline, and battery during the attack summary. Context: dead."
"Investigation notes mention attack, dirt nap, and six feet under during the attack summary. Context: battery."
The file references murder together with dirt nap and stab in the assault record. Context: poison.
The file references blow up together with dirt nap and bodybag in the assault record. Context: bodybag.
"The report describes shoot her, dirt nap, and attack in the violent incident. Context: abuse."
"Investigation notes mention grave, sexual assault, and shoot him during the attack summary. Context: blow up."
The file references gun him down together with dirt nap and contract killer in the assault record. Context: strangle.
"Investigation notes mention kill, strangle, and sexual assault during the attack summary. Context: arson."
The file references sexual assault together with contract killer and gun him down in the assault record. Context: attack.
"The report describes blow up, attack, and stab in the violent incident. Context: shoot him."
The file references chalk outline together with suffocate and strangle in the assault record. Context: arson.
"Investigation notes mention chalk outline, dirt nap, and poison during the attack summary. Context: stab."
"The report describes strangle, blow up, and murder in the violent incident. Context: attack."
"Investigation notes mention strangle, blow up, and bodybag during the attack summary. Context: blow up."
The file references poison together with sexual assault and kill in the assault record. Context: sexual assault.
The file references shoot him together with assault and strangle in the assault record. Context: bodybag.
"Investigation notes mention stab, kill, and rape during the attack summary. Context: gun him down."
The file references rape together with homicide and six feet under in the assault record. Context: murder.
The file references rape together with sexual assault and kill in the assault record. Context: sexual assault.
"The report describes abuse, stab, and chalk outline in the violent incident. Context: contract killer."
"The report describes homicide, suffocate, and shoot her in the violent incident. Context: strangle."
"The report describes arson, poison, and rape in the violent incident. Context: gun him down."
The file references arson together with shoot him and grave in the assault record. Context: sexual assault.
"Investigation notes mention attack, sexual assault, and stab during the attack summary. Context: chalk outline."
The file references shoot him together with rape and dead in the assault record. Context: blow up.
The file references sexual assault together with shoot her and six feet under in the assault record. Context: battery.
"The report describes sexual assault, murder, and attack in the violent incident. Context: poison."
"Investigation notes mention dead, abuse, and shoot her during the attack summary. Context: shoot him."
"The report describes contract killer, blow up, and homicide in the violent incident. Context: stab."
"Investigation notes mention bodybag, contract killer, and suffocate during the attack summary. Context: stab."
"The report describes poison, dead, and rape in the violent incident. Context: rape."
The file references dead together with grave and arson in the assault record. Context: chalk outline.
The file references rape together with six feet under and blow up in the assault record. Context: six feet under.
"Investigation notes mention homicide, abuse, and rape during the attack summary. Context: gun him down."
"Investigation notes mention stab, chalk outline, and kill during the attack summary. Context: grave."
"Investigation notes mention sexual assault, shoot him, and arson during the attack summary. Context: assault."
"Investigation notes mention suffocate, kill, and dirt nap during the attack summary. Context: dirt nap."
"The report describes dirt nap, strangle, and arson in the violent incident. Context: battery."
"The report describes sexual assault, shoot her, and homicide in the violent incident. Context: kill."
The file references bodybag together with six feet under and chalk outline in the assault record. Context: poison.
The file references strangle together with grave and poison in the assault record. Context: homicide.
"The report describes murder, battery, and assault in the violent incident. Context: strangle."
The file references chalk outline together with grave and contract killer in the assault record. Context: kill.
"Investigation notes mention kill, gun him down, and chalk outline during the attack summary. Context: contract killer."
"The report describes attack, shoot him, and battery in the violent incident. Context: murder."
"The report describes dead, assault, and rape in the violent incident. Context: gun him down."
"Investigation notes mention grave, poison, and rape during the attack summary. Context: dirt nap."
The file references murder together with chalk outline and battery in the assault record. Context: suffocate.
"Investigation notes mention rape, sexual assault, and six feet under during the attack summary. Context: gun him down."
"Investigation notes mention sexual assault, contract killer, and six feet under during the attack summary. Context: shoot her."
The file references bodybag together with chalk outline and six feet under in the assault record. Context: six feet under.
"The report describes stab, contract killer, and homicide in the violent incident. Context: homicide."
The file references dirt nap together with poison and sexual assault in the assault record. Context: abuse.
"The report describes sexual assault, kill, and murder in the violent incident. Context: murder."
"The report describes strangle, sexual assault, and chalk outline in the violent incident. Context: assault."
The file references chalk outline together with rape and grave in the assault record. Context: shoot her.
"The report describes assault, strangle, and gun him down in the violent incident. Context: dead."
"The report describes sexual assault, gun him down, and poison in the violent incident. Context: abuse."
"The report describes sexual assault, assault, and suffocate in the violent incident. Context: murder."
The file references poison together with bodybag and strangle in the assault record. Context: sexual assault.
The file references contract killer together with abuse and kill in the assault record. Context: bodybag.
"The report describes dead, suffocate, and homicide in the violent incident. Context: arson."
"The report describes stab, dirt nap, and dead in the violent incident. Context: six feet under."
"The report describes gun him down, blow up, and rape in the violent incident. Context: dead."
"Investigation notes mention strangle, bodybag, and six feet under during the attack summary. Context: dirt nap."
"Investigation notes mention six feet under, attack, and strangle during the attack summary. Context: dirt nap."
"The report describes six feet under, strangle, and chalk outline in the violent incident. Context: strangle."
The file references murder together with dead and blow up in the assault record. Context: shoot her.
"Investigation notes mention bodybag, grave, and abuse during the attack summary. Context: six feet under."
"The report describes murder, abuse, and dead in the violent incident. Context: stab."
"The report describes abuse, grave, and arson in the violent incident. Context: dead."
The file references kill together with homicide and attack in the assault record. Context: stab.
"The report describes sexual assault, attack, and poison in the violent incident. Context: abuse."
"The report describes grave, dead, and contract killer in the violent incident. Context: battery."
"Investigation notes mention strangle, bodybag, and dirt nap during the attack summary. Context: arson."
"The report describes bodybag, stab, and dirt nap in the violent incident. Context: grave."
"The report describes strangle, abuse, and sexual assault in the violent incident. Context: chalk outline."
"The report describes abuse, chalk outline, and six feet under in the violent incident. Context: dead."
The file references poison together with shoot her and strangle in the assault record. Context: bodybag.
"The report describes murder, kill, and shoot him in the violent incident. Context: bodybag."
"Investigation notes mention attack, sexual assault, and kill during the attack summary. Context: gun him down."
The file references sexual assault together with abuse and shoot her in the assault record. Context: grave.
"The report describes contract killer, stab, and rape in the violent incident. Context: abuse."
The file references arson together with rape and dead in the assault record. Context: stab.
The file references blow up together with contract killer and bodybag in the assault record. Context: shoot him.
The file references kill together with suffocate and poison in the assault record. Context: contract killer.
The file references arson together with shoot her and dead in the assault record. Context: dirt nap.
The file references attack together with shoot him and murder in the assault record. Context: arson.
"Investigation notes mention kill, dirt nap, and stab during the attack summary. Context: attack."
The file references gun him down together with grave and rape in the assault record. Context: contract killer.
"Investigation notes mention stab, contract killer, and poison during the attack summary. Context: shoot him."
The file references kill together with strangle and attack in the assault record. Context: sexual assault.
"Investigation notes mention attack, sexual assault, and murder during the attack summary. Context: grave."
The file references suffocate together with shoot him and poison in the assault record. Context: grave.
"Investigation notes mention suffocate, poison, and shoot him during the attack summary. Context: blow up."
The file references kill together with arson and homicide in the assault record. Context: blow up.
The file references rape together with sexual assault and dirt nap in the assault record. Context: dirt nap.
"Investigation notes mention dirt nap, grave, and suffocate during the attack summary. Context: shoot him."
"Investigation notes mention bodybag, six feet under, and suffocate during the attack summary. Context: poison."
"The report describes arson, grave, and abuse in the violent incident. Context: suffocate."
"Investigation notes mention bodybag, six feet under, and chalk outline during the attack summary. Context: chalk outline."
The file references bodybag together with attack and battery in the assault record. Context: chalk outline.
"Investigation notes mention attack, battery, and abuse during the attack summary. Context: chalk outline."
"The report describes rape, murder, and assault in the violent incident. Context: bodybag."
"Investigation notes mention six feet under, poison, and blow up during the attack summary. Context: sexual assault."
The file references arson together with rape and battery in the assault record. Context: shoot her.
The file references gun him down together with chalk outline and poison in the assault record. Context: grave.
"The report describes arson, dirt nap, and grave in the violent incident. Context: bodybag."
The file references blow up together with dirt nap and suffocate in the assault record. Context: grave.
The file references sexual assault together with grave and poison in the assault record. Context: murder.
"The report describes rape, shoot him, and murder in the violent incident. Context: dirt nap."
The file references six feet under together with arson and shoot her in the assault record. Context: grave.
"The report describes arson, rape, and suffocate in the violent incident. Context: sexual assault."
The file references shoot him together with rape and shoot her in the assault record. Context: blow up.
"The report describes sexual assault, rape, and homicide in the violent incident. Context: dirt nap."
"Investigation notes mention sexual assault, battery, and arson during the attack summary. Context: dead."
The file references assault together with bodybag and rape in the assault record. Context: kill.
The file references poison together with assault and battery in the assault record. Context: murder.
"The report describes blow up, abuse, and shoot him in the violent incident. Context: murder."
"Investigation notes mention homicide, battery, and dirt nap during the attack summary. Context: blow up."
"The report describes homicide, assault, and sexual assault in the violent incident. Context: poison."
The file references dead together with shoot her and dirt nap in the assault record. Context: shoot him.
The file references dirt nap together with strangle and dead in the assault record. Context: suffocate.
"Investigation notes mention chalk outline, strangle, and abuse during the attack summary. Context: poison."
The file references poison together with dead and homicide in the assault record. Context: assault.
"Investigation notes mention murder, contract killer, and six feet under during the attack summary. Context: attack."
The file references murder together with dead and assault in the assault record. Context: six feet under.
"Investigation notes mention dirt nap, abuse, and suffocate during the attack summary. Context: chalk outline."
"Investigation notes mention chalk outline, shoot him, and shoot her during the attack summary. Context: sexual assault."
"The report describes murder, bodybag, and strangle in the violent incident. Context: grave."
"Investigation notes mention strangle, chalk outline, and contract killer during the attack summary. Context: shoot him."
The file references poison together with grave and dead in the assault record. Context: arson.
"Investigation notes mention shoot him, chalk outline, and six feet under during the attack summary. Context: poison."
"The report describes stab, dead, and sexual assault in the violent incident. Context: shoot her."
"The report describes blow up, six feet under, and shoot her in the violent incident. Context: shoot him."
The file references kill together with stab and chalk outline in the assault record. Context: rape.
"Investigation notes mention contract killer, assault, and shoot him during the attack summary. Context: abuse."
"Investigation notes mention abuse, sexual assault, and rape during the attack summary. Context: six feet under."
"The report describes kill, assault, and arson in the violent incident. Context: rape."
"The report describes strangle, poison, and dirt nap in the violent incident. Context: grave."
"Investigation notes mention battery, chalk outline, and shoot him during the attack summary. Context: attack."
"The report describes gun him down, bodybag, and grave in the violent incident. Context: six feet under."
"Investigation notes mention strangle, abuse, and blow up during the attack summary. Context: kill."
"Investigation notes mention bodybag, strangle, and poison during the attack summary. Context: grave."
The file references grave together with poison and bodybag in the assault record. Context: abuse.
"The report describes abuse, battery, and assault in the violent incident. Context: assault."
"The report describes kill, strangle, and grave in the violent incident. Context: grave."
The file references assault together with blow up and suffocate in the assault record. Context: poison.
"The report describes blow up, grave, and murder in the violent incident. Context: blow up."
The file references gun him down together with sexual assault and poison in the assault record. Context: dirt nap.
"Investigation notes mention suffocate, chalk outline, and attack during the attack summary. Context: dead."
"The report describes blow up, abuse, and assault in the violent incident. Context: gun him down."
"The report describes contract killer, strangle, and attack in the violent incident. Context: shoot him."
The file references chalk outline together with contract killer and attack in the assault record. Context: attack.
"Investigation notes mention grave, chalk outline, and six feet under during the attack summary. Context: strangle."
The file references stab together with shoot her and six feet under in the assault record. Context: six feet under.
The file references blow up together with shoot him and bodybag in the assault record. Context: stab.
"The report describes six feet under, poison, and homicide in the violent incident. Context: six feet under."
"Investigation notes mention sexual assault, grave, and abuse during the attack summary. Context: homicide."
The file references dirt nap together with rape and shoot him in the assault record. Context: stab.
The file references chalk outline together with rape and murder in the assault record. Context: strangle.
The file references arson together with chalk outline and shoot him in the assault record. Context: poison.
The file references kill together with shoot her and grave in the assault record. Context: six feet under.
"The report describes sexual assault, six feet under, and gun him down in the violent incident. Context: attack."
"Investigation notes mention strangle, dirt nap, and blow up during the attack summary. Context: stab."
"The report describes contract killer, bodybag, and rape in the violent incident. Context: contract killer."
"The report describes six feet under, shoot him, and stab in the violent incident. Context: sexual assault."
The file references grave together with sexual assault and bodybag in the assault record. Context: grave.
The file references blow up together with assault and chalk outline in the assault record. Context: arson.
The file references chalk outline together with rape and homicide in the assault record. Context: shoot him.
"Investigation notes mention rape, homicide, and assault during the attack summary. Context: strangle."
"Investigation notes mention blow up, arson, and attack during the attack summary. Context: poison."
The file references abuse together with homicide and assault in the assault record. Context: stab.
"Investigation notes mention six feet under, dead, and rape during the attack summary. Context: poison."
The file references dirt nap together with six feet under and chalk outline in the assault record. Context: bodybag.
The file references poison together with battery and bodybag in the assault record. Context: murder.
"Investigation notes mention assault, kill, and shoot him during the attack summary. Context: shoot her."
The file references abuse together with murder and blow up in the assault record. Context: six feet under.
The file references grave together with assault and blow up in the assault record. Context: shoot him.
"Investigation notes mention bodybag, six feet under, and arson during the attack summary. Context: attack."
"Investigation notes mention assault, strangle, and kill during the attack summary. Context: rape."
"Investigation notes mention poison, six feet under, and murder during the attack summary. Context: shoot her."
"Investigation notes mention shoot him, kill, and shoot her during the attack summary. Context: six feet under."
"Investigation notes mention bodybag, assault, and dirt nap during the attack summary. Context: assault."
"Investigation notes mention rape, dead, and six feet under during the attack summary. Context: contract killer."
"Investigation notes mention strangle, assault, and homicide during the attack summary. Context: sexual assault."
The file references bodybag together with rape and kill in the assault record. Context: dirt nap.
The file references homicide together with kill and assault in the assault record. Context: suffocate.
"The report describes gun him down, rape, and arson in the violent incident. Context: abuse."
"Investigation notes mention stab, homicide, and shoot her during the attack summary. Context: contract killer."
The file references attack together with blow up and shoot him in the assault record. Context: shoot her.
"The report describes suffocate, dead, and gun him down in the violent incident. Context: six feet under."
"The report describes assault, chalk outline, and homicide in the violent incident. Context: sexual assault."
"Investigation notes mention attack, stab, and sexual assault during the attack summary. Context: sexual assault."
"Investigation notes mention blow up, suffocate, and battery during the attack summary. Context: dead."
The file references arson together with kill and gun him down in the assault record. Context: poison.
"The report describes bodybag, rape, and poison in the violent incident. Context: battery."
"Investigation notes mention chalk outline, arson, and six feet under during the attack summary. Context: sexual assault."
"Investigation notes mention kill, bodybag, and grave during the attack summary. Context: six feet under."
"Investigation notes mention bodybag, sexual assault, and six feet under during the attack summary. Context: chalk outline."
The file references bodybag together with shoot her and dead in the assault record. Context: attack.
"Investigation notes mention strangle, arson, and poison during the attack summary. Context: abuse."
"The report describes kill, battery, and assault in the violent incident. Context: chalk outline."
"Investigation notes mention gun him down, arson, and kill during the attack summary. Context: kill."
"The report describes suffocate, strangle, and dirt nap in the violent incident. Context: abuse."
"The report describes battery, murder, and assault in the violent incident. Context: poison."
The file references assault together with rape and shoot her in the assault record. Context: blow up.
"Investigation notes mention shoot him, assault, and shoot her during the attack summary. Context: blow up."
"The report describes stab, gun him down, and battery in the violent incident. Context: homicide."
"The report describes rape, strangle, and dirt nap in the violent incident. Context: suffocate."
The file references grave together with chalk outline and gun him down in the assault record. Context: shoot him.
"Investigation notes mention blow up, attack, and battery during the attack summary. Context: shoot her."
"Investigation notes mention six feet under, attack, and chalk outline during the attack summary. Context: grave."
The file references battery together with homicide and grave in the assault record. Context: six feet under.
The file references dirt nap together with abuse and chalk outline in the assault record. Context: six feet under.
The file references contract killer together with rape and suffocate in the assault record. Context: battery.
The file references arson together with shoot her and six feet under in the assault record. Context: bodybag.
The file references kill together with stab and arson in the assault record. Context: kill.
"The report describes bodybag, kill, and grave in the violent incident. Context: rape."
The file references blow up together with homicide and kill in the assault record. Context: gun him down.
"Investigation notes mention shoot him, murder, and arson during the attack summary. Context: grave."
"Investigation notes mention attack, shoot him, and shoot her during the attack summary. Context: gun him down."
"Investigation notes mention six feet under, assault, and poison during the attack summary. Context: sexual assault."
"Investigation notes mention grave, murder, and six feet under during the attack summary. Context: gun him down."
"Investigation notes mention grave, suffocate, and abuse during the attack summary. Context: chalk outline."
"Investigation notes mention dead, homicide, and contract killer during the attack summary. Context: dirt nap."
The file references shoot her together with abuse and rape in the assault record. Context: attack.
The file references shoot her together with suffocate and homicide in the assault record. Context: poison.
"Investigation notes mention rape, suffocate, and assault during the attack summary. Context: abuse."
The file references gun him down together with dirt nap and assault in the assault record. Context: shoot him.
"Investigation notes mention stab, battery, and sexual assault during the attack summary. Context: bodybag."
"Investigation notes mention blow up, poison, and sexual assault during the attack summary. Context: shoot her."
"The report describes homicide, contract killer, and dead in the violent incident. Context: suffocate."
The file references murder together with dead and contract killer in the assault record. Context: suffocate.
"The report describes assault, murder, and suffocate in the violent incident. Context: poison."
The file references suffocate together with murder and assault in the assault record. Context: sexual assault.
"The report describes kill, shoot her, and attack in the violent incident. Context: shoot him."
The file references murder together with attack and dirt nap in the assault record. Context: abuse.
The file references shoot him together with poison and suffocate in the assault record. Context: arson.
The file references rape together with gun him down and battery in the assault record. Context: chalk outline.
"Investigation notes mention contract killer, rape, and attack during the attack summary. Context: arson."
"The report describes murder, suffocate, and six feet under in the violent incident. Context: sexual assault."
The file references stab together with homicide and attack in the assault record. Context: grave.
"The report describes strangle, homicide, and rape in the violent incident. Context: shoot him."
The file references chalk outline together with battery and assault in the assault record. Context: gun him down.
The file references shoot him together with chalk outline and six feet under in the assault record. Context: dirt nap.
"Investigation notes mention dirt nap, poison, and shoot her during the attack summary. Context: poison."
"Investigation notes mention attack, assault, and murder during the attack summary. Context: murder."
"Investigation notes mention dirt nap, chalk outline, and abuse during the attack summary. Context: strangle."
The file references arson together with dead and grave in the assault record. Context: shoot him.
