text
"The document discusses cross, modern slavery, and outcall in the trafficking case. Context: bondage."
Investigation notes mention kid along with fresh meat and fresh. Context: boy.
"The document discusses work it off, roses, and exploitation in the trafficking case. Context: happy ending."
"The document discusses escort, kid, and modern slavery in the trafficking case. Context: fresh meat."
"The file references smuggle, stroll, and cross as part of the exploitation report. Context: kid."
Investigation notes mention visa along with force and transport. Context: smuggle.
"The file references buy boy, massage, and border as part of the exploitation report. Context: bottom b."
"The file references debt, spun, and harboring as part of the exploitation report. Context: girl."
"The file references hide, party and play, and kid as part of the exploitation report. Context: passport."
"The document discusses border, new, and harboring in the trafficking case. Context: freight."
"The file references visa, turn out, and load as part of the exploitation report. Context: clean."
"The file references boy, border, and sexual exploitation as part of the exploitation report. Context: working girl."
Investigation notes mention bondage along with blade and owe. Context: new.
Investigation notes mention massage parlor along with forced labor and boy. Context: coyote.
"The file references pay it back, owe, and fee as part of the exploitation report. Context: sweet."
"The document discusses chemsex, sexual exploitation, and freight in the trafficking case. Context: new."
Investigation notes mention pse along with turn out and happy ending. Context: rates.
"The document discusses border, child labor, and girl in the trafficking case. Context: fake passport."
"The file references recruitment, happy ending, and escort as part of the exploitation report. Context: party and play."
"The document discusses debt bondage, new, and cargo in the trafficking case. Context: fresh meat."
Investigation notes mention truck along with fresh meat and cross. Context: hide.
"The document discusses coyote, spun, and fake passport in the trafficking case. Context: happy ending."
"The document discusses servitude, turn out, and spun in the trafficking case. Context: happy ending."
Investigation notes mention sexual exploitation along with rates and handler. Context: gfe.
"The document discusses border, work it off, and servitude in the trafficking case. Context: commercial sex."
"The document discusses freight, work it off, and pnp in the trafficking case. Context: stash house."
Investigation notes mention clean along with debt bondage and kidnapping. Context: choose up.
"The document discusses modern slavery, stash house, and turn out in the trafficking case. Context: sugar daddy."
"The document discusses visa, buy girl, and child labor in the trafficking case. Context: outcall."
"The file references confinement, escort, and stable as part of the exploitation report. Context: force."
"The document discusses owe, force, and rub and tug in the trafficking case. Context: sex work."
Investigation notes mention pse along with commercial sex and hide. Context: gfe.
"The file references sexual exploitation, exploitation, and fresh as part of the exploitation report. Context: bottom girl."
"The document discusses fresh meat, virgin, and container in the trafficking case. Context: harboring."
"The document discusses fee, rates, and track in the trafficking case. Context: coercion."
"The file references prostitution, border, and fake passport as part of the exploitation report. Context: donations."
"The file references blade, gfe, and freight as part of the exploitation report. Context: massage parlor."
"The document discusses freight, outcall, and truck in the trafficking case. Context: owe."
"The document discusses exploitation, new girl, and fresh meat in the trafficking case. Context: exploitation."
Investigation notes mention track along with rates and child labor. Context: clean.
Investigation notes mention boy along with sex work and transport. Context: pse.
"The document discusses bottom b, servitude, and blade in the trafficking case. Context: boy."
Investigation notes mention exploitation along with servitude and virgin. Context: madam.
Investigation notes mention transport along with handler and bb. Context: cherry.
"The file references underage, buy girl, and virgin as part of the exploitation report. Context: smuggling."
"The file references border, pay it back, and girl as part of the exploitation report. Context: donations."
"The document discusses snakehead, bottom b, and stroll in the trafficking case. Context: pay it back."
Investigation notes mention harboring along with roses and bottom b. Context: pimp.
"The document discusses harboring, incall, and commercial sex in the trafficking case. Context: coyote."
Investigation notes mention donations along with commercial sex and truck. Context: fake passport.
"The document discusses minor, prostitution, and bb in the trafficking case. Context: virgin."
"The document discusses rub and tug, cargo, and working girl in the trafficking case. Context: teen."
Investigation notes mention confinement along with pimp and chemsex. Context: underage.
Investigation notes mention confinement along with roses and abduction. Context: kid.
Investigation notes mention new girl along with sugar baby and fake passport. Context: servitude.
Investigation notes mention recruitment along with modern slavery and prostitution. Context: fresh.
"The document discusses stash house, force, and pimp in the trafficking case. Context: smuggling."
Investigation notes mention massage parlor along with girl and kid. Context: truck.
Investigation notes mention madam along with bottom b and snakehead. Context: freight.
Investigation notes mention debt bondage along with pimp and owe. Context: fee.
"The document discusses virgin, rub and tug, and pay it back in the trafficking case. Context: pimp."
"The document discusses escort, cherry, and bondage in the trafficking case. Context: pay it back."
Investigation notes mention track along with rub and tug and pnp. Context: debt bondage.
"The file references stable, transport, and truck as part of the exploitation report. Context: escort."
Investigation notes mention rub and tug along with outcall and pimp. Context: prostitution.
"The document discusses coercion, coyote, and boy in the trafficking case. Context: sweet."
"The document discusses fresh, gfe, and chemsex in the trafficking case. Context: teen."
"The file references freight, donations, and virgin as part of the exploitation report. Context: recruitment."
Investigation notes mention make them along with girl and bottom girl. Context: girl.
"The file references fresh, kid, and fee as part of the exploitation report. Context: stable."
"The file references servitude, smuggling, and kid as part of the exploitation report. Context: happy ending."
Investigation notes mention incall along with child labor and abduction. Context: working girl.
"The document discusses cargo, visa, and servitude in the trafficking case. Context: bb."
"The document discusses kid, transport, and owe in the trafficking case. Context: sugar baby."
Investigation notes mention madam along with chemsex and sugar daddy. Context: sugar daddy.
"The document discusses stash house, handler, and incall in the trafficking case. Context: harboring."
"The file references owe, work it off, and sex work as part of the exploitation report. Context: trafficking."
Investigation notes mention confinement along with stroll and bottom b. Context: roses.
Investigation notes mention party and play along with buy girl and boy. Context: freight.
Investigation notes mention trailer along with servitude and fresh meat. Context: party and play.
"The file references bottom b, blade, and happy ending as part of the exploitation report. Context: trailer."
"The file references clean, sugar daddy, and pimp as part of the exploitation report. Context: fresh meat."
Investigation notes mention trafficking along with freight and truck. Context: bb.
"The document discusses donations, hide, and cherry in the trafficking case. Context: child labor."
"The document discusses incall, massage parlor, and clean in the trafficking case. Context: smuggle."
Investigation notes mention stable along with commercial sex and sexual exploitation. Context: buy boy.
"The document discusses sugar baby, sexual exploitation, and clean in the trafficking case. Context: pay it back."
"The document discusses prostitution, turn out, and fresh in the trafficking case. Context: sugar daddy."
"The document discusses sugar baby, girl, and track in the trafficking case. Context: incall."
Investigation notes mention trafficking along with gfe and servitude. Context: spun.
"The file references rub and tug, roses, and modern slavery as part of the exploitation report. Context: modern slavery."
"The file references escort, harboring, and fee as part of the exploitation report. Context: stroll."
"The file references load, rates, and fee as part of the exploitation report. Context: virgin."
Investigation notes mention bottom girl along with visa and debt. Context: sugar daddy.
"The file references massage parlor, work it off, and stroll as part of the exploitation report. Context: roses."
"The file references border, cherry, and bb as part of the exploitation report. Context: bb."
"The file references choose up, buy boy, and commercial sex as part of the exploitation report. Context: clean."
"The document discusses fake passport, new, and container in the trafficking case. Context: sweet."
"The file references boy, modern slavery, and rates as part of the exploitation report. Context: turn out."
"The file references load, sweet, and pimp as part of the exploitation report. Context: rub and tug."
Investigation notes mention spun along with chemsex and teen. Context: fresh.
"The file references pse, passport, and force as part of the exploitation report. Context: harboring."
"The file references forced labor, transport, and brothel as part of the exploitation report. Context: bondage."
"The file references commercial sex, snakehead, and minor as part of the exploitation report. Context: smuggle."
"The document discusses brothel, bondage, and virgin in the trafficking case. Context: bareback."
"The file references sex work, truck, and sugar daddy as part of the exploitation report. Context: fresh."
"The document discusses party and play, fresh meat, and kid in the trafficking case. Context: roses."
"The document discusses cherry, passport, and virgin in the trafficking case. Context: transport."
"The file references fee, pay it back, and new as part of the exploitation report. Context: servitude."
Investigation notes mention smuggling along with smuggle and commercial sex. Context: fresh meat.
"The file references turn out, sweet, and kid as part of the exploitation report. Context: bareback."
Investigation notes mention stroll along with commercial sex and sexual exploitation. Context: modern slavery.
"The file references new, abduction, and debt bondage as part of the exploitation report. Context: roses."
Investigation notes mention handler along with transport and prostitution. Context: party and play.
Investigation notes mention coyote along with escort and minor. Context: trafficking.
"The document discusses cargo, massage, and sweet in the trafficking case. Context: underage."
"The file references load, blade, and servitude as part of the exploitation report. Context: girl."
Investigation notes mention border along with outcall and chemsex. Context: abduction.
"The document discusses sweet, stash house, and gfe in the trafficking case. Context: donations."
"The file references coercion, rates, and minor as part of the exploitation report. Context: pse."
"The document discusses owe, confinement, and container in the trafficking case. Context: girl."
"The file references cargo, trailer, and fake passport as part of the exploitation report. Context: gfe."
"The document discusses happy ending, party and play, and boy in the trafficking case. Context: teen."
"The file references container, sugar daddy, and working girl as part of the exploitation report. Context: bottom b."
Investigation notes mention bottom girl along with prostitution and new. Context: pimp.
"The document discusses fee, smuggle, and bareback in the trafficking case. Context: donations."
"The document discusses hide, roses, and sugar daddy in the trafficking case. Context: fake passport."
"The document discusses boy, sexual exploitation, and load in the trafficking case. Context: recruitment."
"The document discusses child labor, pse, and trafficking in the trafficking case. Context: buy girl."
Investigation notes mention teen along with choose up and buy boy. Context: harboring.
"The file references buy girl, pse, and cherry as part of the exploitation report. Context: abduction."
"The file references new, underage, and forced labor as part of the exploitation report. Context: cargo."
"The document discusses sex work, confinement, and abduction in the trafficking case. Context: smuggle."
Investigation notes mention party and play along with abduction and chemsex. Context: work it off.
Investigation notes mention fee along with sugar daddy and choose up. Context: stash house.
"The file references exploitation, fee, and fresh as part of the exploitation report. Context: trafficking."
"The document discusses kid, bottom b, and coercion in the trafficking case. Context: cherry."
Investigation notes mention abduction along with truck and rates. Context: new.
Investigation notes mention border along with stroll and confinement. Context: transport.
"The document discusses debt, girl, and forced labor in the trafficking case. Context: pse."
Investigation notes mention fresh meat along with massage parlor and debt. Context: turn out.
Investigation notes mention brothel along with border and fresh. Context: smuggling.
"The document discusses bb, party and play, and brothel in the trafficking case. Context: trafficking."
"The file references chemsex, blade, and debt as part of the exploitation report. Context: kidnapping."
Investigation notes mention cross along with buy girl and container. Context: kid.
"The document discusses roses, brothel, and minor in the trafficking case. Context: stable."
"The file references smuggle, sexual exploitation, and pimp as part of the exploitation report. Context: pnp."
"The file references servitude, bb, and massage as part of the exploitation report. Context: abduction."
"The document discusses fake passport, teen, and coercion in the trafficking case. Context: commercial sex."
"The document discusses spun, outcall, and cargo in the trafficking case. Context: teen."
"The file references boy, working girl, and recruitment as part of the exploitation report. Context: coercion."
Investigation notes mention sexual exploitation along with stash house and outcall. Context: stable.
"The document discusses girl, cross, and virgin in the trafficking case. Context: pnp."
"The document discusses pnp, trailer, and stash house in the trafficking case. Context: trafficking."
"The file references stash house, bottom girl, and fresh meat as part of the exploitation report. Context: kid."
"The file references make them, visa, and trailer as part of the exploitation report. Context: cargo."
Investigation notes mention rub and tug along with massage and sugar daddy. Context: outcall.
"The file references bb, harboring, and modern slavery as part of the exploitation report. Context: kidnapping."
Investigation notes mention visa along with massage parlor and pse. Context: choose up.
"The document discusses abduction, exploitation, and rates in the trafficking case. Context: spun."
"The document discusses spun, owe, and track in the trafficking case. Context: bb."
"The document discusses coyote, bareback, and happy ending in the trafficking case. Context: trailer."
"The document discusses debt, fresh meat, and track in the trafficking case. Context: massage."
Investigation notes mention rates along with roses and confinement. Context: rates.
"The file references smuggling, girl, and working girl as part of the exploitation report. Context: child labor."
"The document discusses roses, massage parlor, and sugar daddy in the trafficking case. Context: pnp."
Investigation notes mention pnp along with girl and brothel. Context: prostitution.
Investigation notes mention fresh meat along with outcall and new girl. Context: hide.
"The file references new girl, prostitution, and teen as part of the exploitation report. Context: trailer."
"The document discusses fee, happy ending, and sugar baby in the trafficking case. Context: boy."
"The file references load, harboring, and sweet as part of the exploitation report. Context: visa."
"The document discusses coyote, spun, and bareback in the trafficking case. Context: transport."
"The file references boy, transport, and trailer as part of the exploitation report. Context: abduction."
"The file references donations, smuggle, and transport as part of the exploitation report. Context: owe."
"The file references truck, container, and outcall as part of the exploitation report. Context: trafficking."
"The document discusses rates, massage parlor, and madam in the trafficking case. Context: abduction."
"The document discusses roses, kid, and visa in the trafficking case. Context: debt bondage."
"The document discusses minor, trailer, and stroll in the trafficking case. Context: girl."
Investigation notes mention new girl along with pay it back and cargo. Context: fresh.
"The file references rub and tug, buy girl, and track as part of the exploitation report. Context: work it off."
"The file references exploitation, bottom girl, and prostitution as part of the exploitation report. Context: track."
"The document discusses minor, massage parlor, and choose up in the trafficking case. Context: chemsex."
"The document discusses brothel, bondage, and child labor in the trafficking case. Context: donations."
"The document discusses owe, blade, and pnp in the trafficking case. Context: girl."
"The file references passport, kidnapping, and buy boy as part of the exploitation report. Context: happy ending."
"The file references rub and tug, child labor, and fresh meat as part of the exploitation report. Context: brothel."
"The file references spun, debt bondage, and bottom b as part of the exploitation report. Context: coyote."
"The file references child labor, new, and freight as part of the exploitation report. Context: track."
"The document discusses coercion, new girl, and transport in the trafficking case. Context: harboring."
"The file references exploitation, commercial sex, and donations as part of the exploitation report. Context: pay it back."
Investigation notes mention underage along with stroll and recruitment. Context: stable.
"The document discusses blade, sex work, and pse in the trafficking case. Context: confinement."
"The file references rub and tug, girl, and escort as part of the exploitation report. Context: trafficking."
Investigation notes mention fresh along with boy and make them. Context: hide.
"The document discusses prostitution, cherry, and gfe in the trafficking case. Context: rub and tug."
"The file references transport, container, and track as part of the exploitation report. Context: recruitment."
"The document discusses force, massage parlor, and smuggle in the trafficking case. Context: kidnapping."
Investigation notes mention passport along with blade and bareback. Context: sexual exploitation.
"The document discusses trafficking, sweet, and chemsex in the trafficking case. Context: donations."
"The file references trafficking, transport, and boy as part of the exploitation report. Context: stash house."
Investigation notes mention work it off along with trailer and harboring. Context: boy.
Investigation notes mention spun along with smuggle and coyote. Context: pnp.
Investigation notes mention trailer along with stable and visa. Context: buy girl.
"The document discusses work it off, bb, and party and play in the trafficking case. Context: hide."
"The file references party and play, rub and tug, and smuggle as part of the exploitation report. Context: container."
"The document discusses sweet, debt, and massage parlor in the trafficking case. Context: new girl."
"The document discusses sugar daddy, cherry, and minor in the trafficking case. Context: roses."
"The file references owe, freight, and bb as part of the exploitation report. Context: new."
"The file references sweet, servitude, and minor as part of the exploitation report. Context: trafficking."
Investigation notes mention confinement along with brothel and happy ending. Context: confinement.
"The document discusses coercion, coyote, and fresh meat in the trafficking case. Context: stroll."
"The file references sex work, fee, and owe as part of the exploitation report. Context: donations."
"The document discusses passport, clean, and blade in the trafficking case. Context: turn out."
"The file references incall, madam, and smuggling as part of the exploitation report. Context: donations."
"The file references passport, sexual exploitation, and sex work as part of the exploitation report. Context: donations."
"The file references cherry, new girl, and stable as part of the exploitation report. Context: sex work."
"The document discusses trailer, working girl, and boy in the trafficking case. Context: confinement."
Investigation notes mention visa along with owe and truck. Context: owe.
"The file references track, commercial sex, and donations as part of the exploitation report. Context: sweet."
"The file references coercion, confinement, and bb as part of the exploitation report. Context: party and play."
"The file references spun, container, and visa as part of the exploitation report. Context: sexual exploitation."
Investigation notes mention sugar baby along with owe and chemsex. Context: modern slavery.
"The document discusses work it off, rates, and harboring in the trafficking case. Context: rates."
Investigation notes mention fake passport along with freight and pimp. Context: pse.
Investigation notes mention chemsex along with smuggle and virgin. Context: pnp.
"The file references rub and tug, bottom girl, and freight as part of the exploitation report. Context: sugar baby."
Investigation notes mention track along with forced labor and rub and tug. Context: coercion.
"The file references transport, turn out, and fresh meat as part of the exploitation report. Context: new girl."
"The file references stash house, work it off, and truck as part of the exploitation report. Context: smuggling."
"The document discusses cherry, coyote, and bottom girl in the trafficking case. Context: owe."
"The document discusses fresh, freight, and abduction in the trafficking case. Context: happy ending."
Investigation notes mention stash house along with truck and buy boy. Context: debt bondage.
"The document discusses new, sexual exploitation, and incall in the trafficking case. Context: working girl."
"The document discusses coyote, buy girl, and new girl in the trafficking case. Context: bottom b."
"The document discusses truck, underage, and harboring in the trafficking case. Context: fresh."
"The file references girl, incall, and stable as part of the exploitation report. Context: prostitution."
Investigation notes mention rub and tug along with hide and bottom b. Context: chemsex.
Investigation notes mention visa along with outcall and debt bondage. Context: debt.
"The file references fresh meat, chemsex, and escort as part of the exploitation report. Context: force."
Investigation notes mention rub and tug along with bareback and sex work. Context: debt.
"The file references new, modern slavery, and sugar baby as part of the exploitation report. Context: donations."
"The document discusses sugar baby, stash house, and virgin in the trafficking case. Context: fresh."
Investigation notes mention buy girl along with transport and spun. Context: trailer.
Investigation notes mention stable along with coyote and debt bondage. Context: working girl.
Investigation notes mention snakehead along with happy ending and stable. Context: debt bondage.
"The file references incall, force, and buy girl as part of the exploitation report. Context: hide."
"The document discusses trailer, owe, and visa in the trafficking case. Context: chemsex."
"The document discusses escort, chemsex, and new in the trafficking case. Context: snakehead."
"The document discusses working girl, party and play, and make them in the trafficking case. Context: brothel."
Investigation notes mention underage along with happy ending and smuggling. Context: incall.
"The file references massage parlor, choose up, and donations as part of the exploitation report. Context: stash house."
"The file references outcall, border, and smuggle as part of the exploitation report. Context: servitude."
"The document discusses debt, recruitment, and virgin in the trafficking case. Context: buy boy."
Investigation notes mention smuggle along with happy ending and choose up. Context: cargo.
