text
"Case notes mention phish, phishing, and logs as scam indicators. Context: romance scam."
The document references fake invoice with ransom and support impersonation in a suspicious exchange. Context: irs scam.
"The message warns about stealer, money mule, and gift card payment in the scam report. Context: scam."
"Case notes mention phishing link, carding, and refund scam as scam indicators. Context: cashout."
"Case notes mention carder, cred, and refund scam as scam indicators. Context: breach."
"The message warns about money mule, fake check, and stealer in the scam report. Context: refund scam."
The document references carder with ransom and irs scam in a suspicious exchange. Context: bin.
"Case notes mention refund scam, apple card, and gift card payment as scam indicators. Context: bin."
The document references cred with urgent verification and carding in a suspicious exchange. Context: phishing link.
"The message warns about phishing link, ransom, and logs in the scam report. Context: fullz."
The document references money mule with phishing link and credit card fraud in a suspicious exchange. Context: amazon card.
"Case notes mention cred, gift card, and carding as scam indicators. Context: refund request."
"Case notes mention phishing link, urgent verification, and stealer as scam indicators. Context: phishing link."
The document references phishing link with account alert and scampage in a suspicious exchange. Context: prize claim.
"The message warns about prize claim, credit card fraud, and phishing in the scam report. Context: romance scam."
"The message warns about fake invoice, amazon card, and romance scam in the scam report. Context: phishing."
The document references leak with support impersonation and gift card in a suspicious exchange. Context: irs scam.
"The message warns about logs, gift card, and romance scam in the scam report. Context: phishing link."
"Case notes mention support impersonation, prize claim, and gift card payment as scam indicators. Context: fullz."
"Case notes mention refund scam, scampage, and phishing link as scam indicators. Context: apple card."
"Case notes mention bins, amazon card, and fullz as scam indicators. Context: phishing."
"Case notes mention logs, fake check, and apple card as scam indicators. Context: steam card."
The document references romance scam with carding and irs scam in a suspicious exchange. Context: tech support scam.
"Case notes mention apple card, fullz, and phish as scam indicators. Context: cashout."
"The message warns about money mule, gift card, and carder in the scam report. Context: credit card fraud."
"Case notes mention prize claim, amazon card, and phishing as scam indicators. Context: irs scam."
"Case notes mention account alert, tech support scam, and bin as scam indicators. Context: gift card payment."
The document references credit card fraud with amazon card and romance scam in a suspicious exchange. Context: carding.
"Case notes mention botnet, steam card, and phishing link as scam indicators. Context: steam card."
"The message warns about breach, gift card, and fake check in the scam report. Context: phishing link."
The document references money mule with prize claim and botnet in a suspicious exchange. Context: fullz.
"Case notes mention gift card, refund scam, and ransom as scam indicators. Context: carding."
The document references steam card with bin and money mule in a suspicious exchange. Context: irs scam.
"Case notes mention botnet, apple card, and money mule as scam indicators. Context: gift card."
The document references irs scam with prize claim and amazon card in a suspicious exchange. Context: refund scam.
"The message warns about scampage, account alert, and urgent verification in the scam report. Context: credit card fraud."
"Case notes mention refund request, leak, and phishing link as scam indicators. Context: urgent verification."
"Case notes mention bin, prize claim, and irs scam as scam indicators. Context: stealer."
"The message warns about fake check, urgent verification, and cred in the scam report. Context: gift card."
"Case notes mention irs scam, tech support scam, and amazon card as scam indicators. Context: botnet."
The document references tech support scam with bin and bins in a suspicious exchange. Context: phish.
"The message warns about refund scam, phish, and carder in the scam report. Context: credit card fraud."
"Case notes mention phish, gift card, and urgent verification as scam indicators. Context: irs scam."
The document references irs scam with phishing and stealer in a suspicious exchange. Context: logs.
"The message warns about credit card fraud, scampage, and bin in the scam report. Context: phishing."
The document references phishing link with credit card fraud and fullz in a suspicious exchange. Context: gift card.
The document references money mule with tech support scam and fake check in a suspicious exchange. Context: logs.
"Case notes mention phish, carder, and account alert as scam indicators. Context: refund request."
"Case notes mention scampage, phishing link, and cashout as scam indicators. Context: carder."
The document references amazon card with steam card and romance scam in a suspicious exchange. Context: botnet.
The document references cred with carding and leak in a suspicious exchange. Context: fake invoice.
"Case notes mention tech support scam, scampage, and fullz as scam indicators. Context: fake check."
The document references carder with amazon card and prize claim in a suspicious exchange. Context: phish.
"Case notes mention bin, cred, and fake check as scam indicators. Context: fake check."
"Case notes mention gift card, credit card fraud, and phishing as scam indicators. Context: phish."
"Case notes mention scampage, support impersonation, and romance scam as scam indicators. Context: fake check."
The document references carder with prize claim and phish in a suspicious exchange. Context: scam.
"The message warns about refund scam, scampage, and gift card in the scam report. Context: gift card."
"Case notes mention botnet, breach, and fake invoice as scam indicators. Context: tech support scam."
The document references phishing with bin and cashout in a suspicious exchange. Context: tech support scam.
"Case notes mention steam card, irs scam, and carding as scam indicators. Context: scampage."
"Case notes mention account alert, money mule, and apple card as scam indicators. Context: support impersonation."
"Case notes mention amazon card, urgent verification, and credit card fraud as scam indicators. Context: leak."
"The message warns about fake invoice, logs, and scam in the scam report. Context: gift card."
"The message warns about amazon card, cashout, and carder in the scam report. Context: refund request."
The document references logs with tech support scam and amazon card in a suspicious exchange. Context: logs.
"The message warns about scampage, leak, and amazon card in the scam report. Context: cashout."
The document references tech support scam with fake check and leak in a suspicious exchange. Context: ransom.
The document references credit card fraud with support impersonation and ransom in a suspicious exchange. Context: stealer.
"Case notes mention scampage, breach, and fullz as scam indicators. Context: irs scam."
"The message warns about scampage, cred, and cashout in the scam report. Context: carder."
"Case notes mention scam, refund request, and irs scam as scam indicators. Context: phishing link."
The document references carder with ransom and botnet in a suspicious exchange. Context: bins.
"The message warns about phishing link, romance scam, and logs in the scam report. Context: botnet."
The document references bins with stealer and tech support scam in a suspicious exchange. Context: cred.
"Case notes mention credit card fraud, bins, and scampage as scam indicators. Context: fake invoice."
"The message warns about phish, fake check, and urgent verification in the scam report. Context: gift card payment."
"Case notes mention logs, amazon card, and refund scam as scam indicators. Context: romance scam."
"Case notes mention irs scam, scampage, and money mule as scam indicators. Context: fullz."
The document references fullz with steam card and phish in a suspicious exchange. Context: phishing.
The document references scam with scampage and account alert in a suspicious exchange. Context: refund scam.
"Case notes mention fake check, logs, and support impersonation as scam indicators. Context: leak."
The document references scampage with breach and account alert in a suspicious exchange. Context: urgent verification.
The document references logs with cashout and amazon card in a suspicious exchange. Context: cred.
"The message warns about scampage, carder, and amazon card in the scam report. Context: phishing link."
The document references bin with fake check and irs scam in a suspicious exchange. Context: scampage.
The document references refund request with amazon card and irs scam in a suspicious exchange. Context: phishing link.
"The message warns about cred, support impersonation, and fake invoice in the scam report. Context: cred."
The document references fullz with ransom and leak in a suspicious exchange. Context: scampage.
The document references breach with urgent verification and irs scam in a suspicious exchange. Context: phishing.
The document references fake invoice with apple card and support impersonation in a suspicious exchange. Context: phishing link.
"The message warns about carder, cred, and apple card in the scam report. Context: bins."
"Case notes mention leak, breach, and account alert as scam indicators. Context: botnet."
"The message warns about scam, refund request, and leak in the scam report. Context: phish."
The document references phishing link with carding and steam card in a suspicious exchange. Context: carder.
"The message warns about refund scam, fake check, and carding in the scam report. Context: credit card fraud."
"Case notes mention cashout, urgent verification, and gift card payment as scam indicators. Context: scam."
"Case notes mention steam card, phishing, and fake invoice as scam indicators. Context: logs."
"The message warns about botnet, fullz, and bins in the scam report. Context: money mule."
The document references support impersonation with romance scam and cashout in a suspicious exchange. Context: leak.
"The message warns about phish, refund scam, and cashout in the scam report. Context: breach."
"The message warns about romance scam, refund scam, and bins in the scam report. Context: gift card."
The document references phishing link with irs scam and gift card in a suspicious exchange. Context: carding.
The document references fake check with account alert and stealer in a suspicious exchange. Context: romance scam.
The document references gift card payment with bin and irs scam in a suspicious exchange. Context: fake check.
"Case notes mention leak, irs scam, and cashout as scam indicators. Context: steam card."
"Case notes mention urgent verification, ransom, and cred as scam indicators. Context: refund request."
"The message warns about cashout, bins, and urgent verification in the scam report. Context: gift card payment."
"Case notes mention gift card, cred, and logs as scam indicators. Context: irs scam."
"The message warns about bins, fullz, and support impersonation in the scam report. Context: account alert."
"The message warns about carding, account alert, and irs scam in the scam report. Context: urgent verification."
"The message warns about scampage, apple card, and cashout in the scam report. Context: carder."
"The message warns about urgent verification, leak, and refund scam in the scam report. Context: tech support scam."
"Case notes mention gift card, amazon card, and urgent verification as scam indicators. Context: scampage."
"Case notes mention steam card, leak, and botnet as scam indicators. Context: scampage."
"The message warns about carding, irs scam, and prize claim in the scam report. Context: refund scam."
The document references carder with scam and breach in a suspicious exchange. Context: refund scam.
The document references phishing link with gift card and fake check in a suspicious exchange. Context: cashout.
"The message warns about logs, scam, and stealer in the scam report. Context: stealer."
"Case notes mention credit card fraud, botnet, and gift card payment as scam indicators. Context: phish."
The document references irs scam with prize claim and stealer in a suspicious exchange. Context: urgent verification.
"The message warns about cred, gift card payment, and irs scam in the scam report. Context: breach."
"The message warns about cred, fake invoice, and phishing link in the scam report. Context: fake invoice."
"The message warns about phish, stealer, and bins in the scam report. Context: steam card."
The document references scam with carding and irs scam in a suspicious exchange. Context: support impersonation.
The document references bins with phishing and phishing link in a suspicious exchange. Context: account alert.
"The message warns about phishing link, ransom, and fullz in the scam report. Context: irs scam."
"Case notes mention amazon card, support impersonation, and money mule as scam indicators. Context: tech support scam."
The document references gift card payment with carder and phishing link in a suspicious exchange. Context: irs scam.
The document references credit card fraud with breach and bins in a suspicious exchange. Context: apple card.
"Case notes mention fake invoice, ransom, and account alert as scam indicators. Context: urgent verification."
"Case notes mention logs, bins, and romance scam as scam indicators. Context: fake check."
"Case notes mention gift card payment, breach, and botnet as scam indicators. Context: cashout."
"The message warns about gift card payment, logs, and leak in the scam report. Context: phishing link."
"The message warns about carding, tech support scam, and phishing link in the scam report. Context: botnet."
The document references support impersonation with fullz and credit card fraud in a suspicious exchange. Context: apple card.
"The message warns about breach, leak, and account alert in the scam report. Context: steam card."
"The message warns about irs scam, carder, and ransom in the scam report. Context: phishing link."
"Case notes mention scampage, steam card, and apple card as scam indicators. Context: bin."
The document references cred with account alert and carding in a suspicious exchange. Context: urgent verification.
"Case notes mention carder, carding, and support impersonation as scam indicators. Context: carding."
"The message warns about breach, carder, and botnet in the scam report. Context: bins."
"The message warns about fake invoice, account alert, and phishing link in the scam report. Context: fake check."
The document references steam card with logs and carder in a suspicious exchange. Context: tech support scam.
The document references scam with phish and gift card payment in a suspicious exchange. Context: account alert.
"Case notes mention breach, cashout, and bin as scam indicators. Context: tech support scam."
The document references fake check with phish and cred in a suspicious exchange. Context: ransom.
"Case notes mention logs, irs scam, and tech support scam as scam indicators. Context: fake check."
"Case notes mention credit card fraud, fake invoice, and cred as scam indicators. Context: refund request."
The document references money mule with cashout and steam card in a suspicious exchange. Context: breach.
"Case notes mention irs scam, fullz, and refund scam as scam indicators. Context: cred."
The document references fullz with refund request and bins in a suspicious exchange. Context: support impersonation.
The document references gift card with amazon card and apple card in a suspicious exchange. Context: refund request.
"Case notes mention cred, refund scam, and fake invoice as scam indicators. Context: fake invoice."
"The message warns about apple card, refund scam, and stealer in the scam report. Context: phishing."
"Case notes mention prize claim, steam card, and romance scam as scam indicators. Context: prize claim."
"Case notes mention bins, botnet, and cashout as scam indicators. Context: gift card."
"The message warns about refund request, steam card, and breach in the scam report. Context: prize claim."
"Case notes mention scampage, phish, and gift card as scam indicators. Context: carder."
The document references fullz with fake check and scampage in a suspicious exchange. Context: carder.
"Case notes mention fullz, carder, and fake invoice as scam indicators. Context: scam."
"Case notes mention urgent verification, steam card, and phish as scam indicators. Context: ransom."
"Case notes mention apple card, gift card, and bins as scam indicators. Context: romance scam."
"Case notes mention refund request, phish, and carding as scam indicators. Context: stealer."
"Case notes mention fake check, urgent verification, and carding as scam indicators. Context: irs scam."
"The message warns about tech support scam, cashout, and fullz in the scam report. Context: gift card payment."
"Case notes mention botnet, fake invoice, and money mule as scam indicators. Context: refund request."
"Case notes mention refund scam, support impersonation, and refund request as scam indicators. Context: phishing link."
"The message warns about irs scam, fake invoice, and phishing link in the scam report. Context: cred."
"The message warns about account alert, logs, and phishing link in the scam report. Context: account alert."
The document references refund request with carder and botnet in a suspicious exchange. Context: phishing.
"Case notes mention breach, support impersonation, and fake check as scam indicators. Context: tech support scam."
"Case notes mention carder, fake check, and bins as scam indicators. Context: cred."
The document references carder with fake check and gift card in a suspicious exchange. Context: credit card fraud.
The document references cred with tech support scam and fullz in a suspicious exchange. Context: botnet.
"Case notes mention leak, phishing link, and scam as scam indicators. Context: apple card."
"Case notes mention money mule, phishing, and tech support scam as scam indicators. Context: gift card."
"Case notes mention fake invoice, steam card, and romance scam as scam indicators. Context: logs."
"Case notes mention logs, account alert, and urgent verification as scam indicators. Context: fake invoice."
The document references cred with amazon card and cashout in a suspicious exchange. Context: ransom.
"Case notes mention refund scam, steam card, and prize claim as scam indicators. Context: fake invoice."
"Case notes mention bin, cashout, and breach as scam indicators. Context: gift card."
"Case notes mention support impersonation, carder, and cashout as scam indicators. Context: prize claim."
"Case notes mention fullz, refund request, and stealer as scam indicators. Context: credit card fraud."
The document references carder with prize claim and leak in a suspicious exchange. Context: botnet.
"Case notes mention phish, fake invoice, and cashout as scam indicators. Context: amazon card."
The document references refund scam with phishing and phishing link in a suspicious exchange. Context: irs scam.
The document references leak with tech support scam and credit card fraud in a suspicious exchange. Context: romance scam.
"Case notes mention scampage, cashout, and carder as scam indicators. Context: breach."
"The message warns about bins, cred, and leak in the scam report. Context: cred."
"Case notes mention gift card, tech support scam, and breach as scam indicators. Context: amazon card."
The document references leak with credit card fraud and fullz in a suspicious exchange. Context: carding.
The document references amazon card with cred and tech support scam in a suspicious exchange. Context: carder.
"Case notes mention fullz, stealer, and phish as scam indicators. Context: account alert."
The document references romance scam with carder and bin in a suspicious exchange. Context: urgent verification.
"The message warns about support impersonation, tech support scam, and money mule in the scam report. Context: tech support scam."
"Case notes mention ransom, credit card fraud, and bin as scam indicators. Context: carding."
"Case notes mention phish, support impersonation, and logs as scam indicators. Context: tech support scam."
"The message warns about fake invoice, cashout, and account alert in the scam report. Context: fake check."
"Case notes mention prize claim, breach, and phish as scam indicators. Context: fake invoice."
"Case notes mention phishing, scam, and urgent verification as scam indicators. Context: breach."
"Case notes mention scam, fullz, and gift card payment as scam indicators. Context: scampage."
The document references romance scam with apple card and botnet in a suspicious exchange. Context: phishing.
"The message warns about breach, prize claim, and money mule in the scam report. Context: refund scam."
The document references carder with logs and support impersonation in a suspicious exchange. Context: botnet.
"Case notes mention account alert, amazon card, and steam card as scam indicators. Context: fake invoice."
"The message warns about bin, phish, and amazon card in the scam report. Context: urgent verification."
"Case notes mention steam card, credit card fraud, and logs as scam indicators. Context: gift card payment."
"Case notes mention scam, leak, and tech support scam as scam indicators. Context: phishing link."
"Case notes mention refund scam, prize claim, and cashout as scam indicators. Context: credit card fraud."
"Case notes mention fake invoice, carder, and apple card as scam indicators. Context: apple card."
The document references romance scam with leak and scam in a suspicious exchange. Context: fake check.
"Case notes mention stealer, fake invoice, and scam as scam indicators. Context: credit card fraud."
"Case notes mention bin, apple card, and stealer as scam indicators. Context: gift card."
The document references ransom with phishing link and fake check in a suspicious exchange. Context: phishing link.
"The message warns about botnet, scam, and stealer in the scam report. Context: bin."
"The message warns about account alert, phishing link, and breach in the scam report. Context: leak."
