text
Case file references bars along with grass and load. Context: soft.
"The message discusses qp, tweaker, and codeine in the shipment notes. Context: acid."
"The message discusses beans, dope, and crack in the shipment notes. Context: junkie."
"The message discusses lean, oxycodone, and crank in the shipment notes. Context: bong."
Case file references carfentanil along with ganja and trap. Context: nose candy.
"Hidden memo mentions carfentanil, blow, and blues during the transaction. Context: marijuana."
"The message discusses blues, cart, and edibles in the shipment notes. Context: overdose."
Case file references mescaline along with criss and anabolic steroids. Context: prescription bottle.
"Hidden memo mentions point, blotter, and crack during the transaction. Context: roxys."
Case file references meth along with qp and cooker. Context: stems.
"Hidden memo mentions shipment, crank, and eight ball during the transaction. Context: vial."
Case file references flake along with torch and needle. Context: yayo.
Case file references xans along with overdose and tramadol. Context: overdose.
Case file references drop along with pen and dillies. Context: bars.
Case file references horse along with syringe and grass. Context: roxys.
"The message discusses soft, hard, and methamphetamine in the shipment notes. Context: hydrocodone."
"Hidden memo mentions narco, kilo, and cooker during the transaction. Context: cooker."
"The message discusses dime, fentanyl, and methadone in the shipment notes. Context: key."
"Hidden memo mentions overdose, go fast, and blotter during the transaction. Context: blister pack."
"Hidden memo mentions greens, half o, and schoolbuses during the transaction. Context: load."
"The message discusses flake, go fast, and tweaker in the shipment notes. Context: special k."
"The message discusses m30, anabolic steroids, and torch in the shipment notes. Context: ganja."
"The message discusses needle, hard, and pill press in the shipment notes. Context: special k."
Case file references tar along with stash and stems. Context: meth.
"The message discusses prescription bottle, synthetic marijuana, and hard in the shipment notes. Context: dog food."
"Hidden memo mentions synthetic marijuana, cooker, and mescaline during the transaction. Context: boy."
"The message discusses bando, pipe, and ball in the shipment notes. Context: acid."
Case file references tweaker along with pipe and carfentanil. Context: cooker.
"The message discusses opium, acid, and glass in the shipment notes. Context: junkie."
Case file references anabolic steroids along with zip and dope. Context: pack.
"Hidden memo mentions dub, tina, and point during the transaction. Context: ketamine."
"Hidden memo mentions dmt, pot, and grass during the transaction. Context: codeine."
"The message discusses snow, narco, and china white in the shipment notes. Context: heroin."
"The message discusses kilo, pack, and bando in the shipment notes. Context: dealer."
"Hidden memo mentions girl, boy, and load during the transaction. Context: dealer."
"Hidden memo mentions rush, purple drank, and half o during the transaction. Context: dope."
"The message discusses glass, yayo, and crystal meth in the shipment notes. Context: nose candy."
Case file references go fast along with girl and ball. Context: criss.
Case file references key along with flake and rolling paper. Context: codeine.
"The message discusses ecstasy, teenager, and xans in the shipment notes. Context: methadone."
"The message discusses stash, oxycodone, and yayo in the shipment notes. Context: bando."
"Hidden memo mentions foil, dub, and soft during the transaction. Context: eight ball."
Case file references cooker along with methadone and bando. Context: footballs.
Case file references xans along with mescaline and blow. Context: scale.
"The message discusses girl, brick, and mdma in the shipment notes. Context: m30."
"Hidden memo mentions tweaker, xans, and carfentanil during the transaction. Context: heroin."
"Hidden memo mentions drop, onion, and acid during the transaction. Context: stems."
Case file references baggie along with dub and acid. Context: k2.
"The message discusses girl, ball, and syringe in the shipment notes. Context: narco."
"The message discusses snow, blues, and meth in the shipment notes. Context: dope."
Case file references carfentanil along with drop and anabolic steroids. Context: dog food.
Case file references straw along with flake and zip. Context: overdose.
"Hidden memo mentions load, ice, and wax during the transaction. Context: straw."
Case file references spice along with crack and hard. Context: grinder.
"Hidden memo mentions yayo, heroin, and boy during the transaction. Context: cooker."
Case file references glass along with dime and torch. Context: footballs.
"Hidden memo mentions cart, load, and xans during the transaction. Context: narco."
Case file references wax along with dealer and onion. Context: bong.
"The message discusses pen, wax, and glass in the shipment notes. Context: synthetic marijuana."
"The message discusses rolling paper, schoolbuses, and dmt in the shipment notes. Context: pill press."
"Hidden memo mentions load, meth, and crystal meth during the transaction. Context: crank."
"Hidden memo mentions morphine, bando, and rush during the transaction. Context: edibles."
Case file references codeine along with schoolbuses and prescription bottle. Context: syringe.
"The message discusses mdma, crack, and plug in the shipment notes. Context: methadone."
"Hidden memo mentions eight ball, dmt, and dub during the transaction. Context: tina."
Case file references cannabis along with molly and bars. Context: caps.
"Hidden memo mentions liquid g, teenager, and ice during the transaction. Context: onion."
"Hidden memo mentions horse, white lady, and china white during the transaction. Context: pen."
Case file references narco along with baggie and crystal meth. Context: fix.
Case file references shipment along with fix and methamphetamine. Context: snow.
"Hidden memo mentions opium, dub, and greens during the transaction. Context: half o."
Case file references tweaker along with load and criss. Context: needle.
"Hidden memo mentions rohypnol, plug, and pen during the transaction. Context: tar."
"The message discusses tar, oxycodone, and edibles in the shipment notes. Context: lsd."
"The message discusses baggie, girl, and stash in the shipment notes. Context: angel dust."
Case file references tweaker along with bath salts and kratom. Context: ball.
Case file references hashish along with tabs and k2. Context: bars.
"Hidden memo mentions zip, china white, and lean during the transaction. Context: tabs."
Case file references blister pack along with rolling paper and flake. Context: needle.
"The message discusses tar, dillies, and carfentanil in the shipment notes. Context: crystal meth."
Case file references dope along with edibles and tabs. Context: meth.
Case file references rush along with torch and amphetamine. Context: rush.
Case file references pen along with liquid g and rohypnol. Context: marijuana.
"Hidden memo mentions bars, mary jane, and pcp during the transaction. Context: criss."
"The message discusses kilo, carfentanil, and bath salts in the shipment notes. Context: criss."
"Hidden memo mentions scale, carfentanil, and kratom during the transaction. Context: spice."
"Hidden memo mentions shatter, load, and blotter during the transaction. Context: crank."
Case file references zip along with dmt and cooker. Context: hashish.
Case file references blotter along with ganja and dub. Context: dmt.
Case file references blotter along with caps and ketamine. Context: angel dust.
"Hidden memo mentions amphetamine, load, and methadone during the transaction. Context: oxycodone."
"Hidden memo mentions lsd, footballs, and overdose during the transaction. Context: weed."
Case file references crack along with pot and ganja. Context: ice.
"Hidden memo mentions heroin, hard, and ice during the transaction. Context: tweaker."
"The message discusses china white, ghb, and marijuana in the shipment notes. Context: caps."
Case file references plug along with xans and fentanyl. Context: acid.
"Hidden memo mentions synthetic marijuana, qp, and pill press during the transaction. Context: pcp."
"Hidden memo mentions bong, dime, and stems during the transaction. Context: rohypnol."
"Hidden memo mentions pack, rolling paper, and mary jane during the transaction. Context: vial."
Case file references criss along with shipment and cannabis. Context: brick.
"The message discusses point, rohypnol, and cooker in the shipment notes. Context: codeine."
Case file references xans along with ice and pcp. Context: bars.
"Hidden memo mentions pen, blister pack, and tar during the transaction. Context: teenager."
Case file references dmt along with carfentanil and ganja. Context: stash.
Case file references onion along with dillies and load. Context: kratom.
"The message discusses m30, point, and fix in the shipment notes. Context: bong."
"The message discusses crack, methadone, and hydrocodone in the shipment notes. Context: liquid g."
Case file references k2 along with ketamine and schoolbuses. Context: shrooms.
Case file references half o along with acid and girl. Context: mescaline.
"The message discusses grinder, grass, and crank in the shipment notes. Context: rohypnol."
"Hidden memo mentions beans, blotter, and carfentanil during the transaction. Context: dope."
"The message discusses point, marijuana, and yayo in the shipment notes. Context: flake."
"The message discusses blues, dillies, and beans in the shipment notes. Context: crystal meth."
"The message discusses brick, crack, and crystal meth in the shipment notes. Context: blister pack."
Case file references ganja along with cart and qp. Context: snow.
"The message discusses blotter, blues, and bars in the shipment notes. Context: crank."
Case file references snow along with lsd and codeine. Context: half o.
"The message discusses syringe, dub, and zip in the shipment notes. Context: razor."
Case file references carfentanil along with greens and teenager. Context: syringe.
Case file references pill press along with go fast and molly. Context: psilocybin.
"The message discusses cocaine, weed, and criss in the shipment notes. Context: fix."
Case file references dog food along with bars and anabolic steroids. Context: teenager.
"Hidden memo mentions china white, k2, and pen during the transaction. Context: stash."
"Hidden memo mentions rolling paper, shrooms, and opium during the transaction. Context: ecstasy."
Case file references eight ball along with fentanyl and shipment. Context: point.
Case file references key along with zip and dog food. Context: oxycodone.
"The message discusses bars, white lady, and shipment in the shipment notes. Context: eight ball."
"Hidden memo mentions rohypnol, overdose, and eight ball during the transaction. Context: codeine."
Case file references edibles along with blues and dillies. Context: white lady.
"Hidden memo mentions morphine, straw, and carfentanil during the transaction. Context: special k."
"The message discusses beans, ice, and plug in the shipment notes. Context: fix."
"The message discusses purple drank, china white, and crank in the shipment notes. Context: scale."
"The message discusses drop, dime, and xans in the shipment notes. Context: ball."
Case file references crack along with bando and dub. Context: psilocybin.
Case file references shrooms along with grinder and opium. Context: pack.
"The message discusses mdma, psilocybin, and blotter in the shipment notes. Context: methadone."
Case file references grinder along with wax and drop. Context: angel dust.
"The message discusses xans, bong, and rolling paper in the shipment notes. Context: pack."
"Hidden memo mentions mescaline, roxys, and hydrocodone during the transaction. Context: china white."
"Hidden memo mentions ecstasy, junkie, and ball during the transaction. Context: snow."
Case file references tabs along with liquid g and boy. Context: dillies.
"The message discusses acid, footballs, and pcp in the shipment notes. Context: wax."
"The message discusses boy, tweaker, and glass in the shipment notes. Context: crystal meth."
"Hidden memo mentions beans, blues, and dabs during the transaction. Context: hydrocodone."
"Hidden memo mentions blues, cart, and schoolbuses during the transaction. Context: pill press."
"The message discusses methadone, half o, and straw in the shipment notes. Context: stems."
Case file references blues along with horse and grass. Context: special k.
Case file references dope along with bath salts and crank. Context: dmt.
"Hidden memo mentions grinder, pill press, and mdma during the transaction. Context: k2."
"Hidden memo mentions cart, crank, and blow during the transaction. Context: nose candy."
"Hidden memo mentions ball, molly, and onion during the transaction. Context: plug."
"Hidden memo mentions dub, boy, and dime during the transaction. Context: narco."
"Hidden memo mentions blues, bando, and special k during the transaction. Context: ball."
"Hidden memo mentions drop, boy, and pen during the transaction. Context: qp."
"The message discusses blow, lean, and bath salts in the shipment notes. Context: needle."
Case file references liquid g along with mescaline and foil. Context: hydrocodone.
"The message discusses blow, flake, and pack in the shipment notes. Context: eight ball."
"The message discusses methadone, mary jane, and pack in the shipment notes. Context: zip."
"The message discusses acid, edibles, and rolling paper in the shipment notes. Context: wax."
Case file references codeine along with liquid g and dope. Context: dmt.
Case file references footballs along with ice and bath salts. Context: bando.
"The message discusses bath salts, bando, and dime in the shipment notes. Context: fentanyl."
Case file references fix along with ganja and glass. Context: ghb.
"The message discusses girl, plug, and criss in the shipment notes. Context: narco."
Case file references qp along with shipment and pcp. Context: torch.
Case file references fentanyl along with razor and narco. Context: point.
"The message discusses heroin, shrooms, and narco in the shipment notes. Context: hydrocodone."
"Hidden memo mentions pill press, stems, and crack during the transaction. Context: oxycodone."
Case file references shatter along with bando and molly. Context: fentanyl.
"Hidden memo mentions caps, crack, and greens during the transaction. Context: mescaline."
"Hidden memo mentions footballs, spice, and molly during the transaction. Context: dillies."
"The message discusses china white, drop, and pipe in the shipment notes. Context: pcp."
"The message discusses shipment, mdma, and tar in the shipment notes. Context: lean."
Case file references ecstasy along with m30 and blues. Context: bong.
Case file references tweaker along with mdma and angel dust. Context: lsd.
Case file references schoolbuses along with flake and amphetamine. Context: brick.
Case file references ball along with wax and dillies. Context: baggie.
"Hidden memo mentions blotter, foil, and yayo during the transaction. Context: half o."
Case file references codeine along with teenager and horse. Context: mescaline.
Case file references codeine along with bars and tar. Context: point.
"The message discusses nose candy, dub, and beans in the shipment notes. Context: shrooms."
"Hidden memo mentions eight ball, hard, and psilocybin during the transaction. Context: key."
"The message discusses tabs, razor, and snow in the shipment notes. Context: ball."
"Hidden memo mentions hashish, synthetic marijuana, and crack during the transaction. Context: tabs."
"Hidden memo mentions stems, wax, and hashish during the transaction. Context: pack."
"Hidden memo mentions blotter, liquid g, and dub during the transaction. Context: bath salts."
"Hidden memo mentions blister pack, tabs, and edibles during the transaction. Context: soft."
Case file references junkie along with carfentanil and marijuana. Context: foil.
"Hidden memo mentions shatter, anabolic steroids, and rush during the transaction. Context: dime."
"The message discusses grass, girl, and cooker in the shipment notes. Context: spice."
"The message discusses opium, pack, and china white in the shipment notes. Context: perc."
"The message discusses greens, pcp, and dog food in the shipment notes. Context: china white."
"The message discusses stems, straw, and dope in the shipment notes. Context: bath salts."
"Hidden memo mentions plug, scale, and marijuana during the transaction. Context: blotter."
Case file references trap along with k2 and tramadol. Context: edibles.
"Hidden memo mentions pipe, pill press, and onion during the transaction. Context: opium."
Case file references synthetic marijuana along with perc and opium. Context: foil.
Case file references greens along with synthetic marijuana and horse. Context: rolling paper.
Case file references psilocybin along with amphetamine and foil. Context: nose candy.
"Hidden memo mentions blow, xans, and dope during the transaction. Context: boy."
"The message discusses codeine, tweaker, and purple drank in the shipment notes. Context: criss."
"Hidden memo mentions prescription bottle, methadone, and rolling paper during the transaction. Context: crank."
"The message discusses white lady, dillies, and ecstasy in the shipment notes. Context: molly."
Case file references rush along with pot and zip. Context: dog food.
Case file references criss along with needle and overdose. Context: load.
Case file references opium along with ketamine and snow. Context: needle.
Case file references drop along with weed and roxys. Context: perc.
"Hidden memo mentions greens, brick, and k2 during the transaction. Context: rohypnol."
Case file references perc along with narco and trap. Context: pack.
Case file references junkie along with crystal meth and kratom. Context: wax.
"Hidden memo mentions qp, junkie, and snow during the transaction. Context: m30."
Case file references angel dust along with snow and baggie. Context: baggie.
Case file references go fast along with baggie and oxycodone. Context: grinder.
"The message discusses shipment, narco, and ganja in the shipment notes. Context: lsd."
"Hidden memo mentions boy, scale, and bando during the transaction. Context: methamphetamine."
"Hidden memo mentions rohypnol, teenager, and spice during the transaction. Context: tabs."
"The message discusses key, tabs, and molly in the shipment notes. Context: special k."
"Hidden memo mentions stems, girl, and opium during the transaction. Context: pack."
Case file references soft along with anabolic steroids and synthetic marijuana. Context: liquid g.
"Hidden memo mentions dillies, tabs, and crystal meth during the transaction. Context: straw."
"The message discusses brick, rolling paper, and ecstasy in the shipment notes. Context: bath salts."
"The message discusses footballs, bong, and foil in the shipment notes. Context: razor."
Case file references bath salts along with bars and perc. Context: tina.
Case file references dillies along with grinder and straw. Context: tina.
"Hidden memo mentions bong, fentanyl, and blotter during the transaction. Context: ghb."
Case file references zip along with go fast and marijuana. Context: stash.
"Hidden memo mentions acid, pipe, and white lady during the transaction. Context: pen."
